INIT;STARTED;2022-10-09_17:03:12.384;
2022-10-09_17:05:07.568;47.2043947119982;18.388345213119496;
2022-10-09_17:05:08.566;47.2043947119982;18.388345213119496;
2022-10-09_17:05:09.570;47.2043947119982;18.388345213119496;
2022-10-09_17:05:10.564;47.20440079325641;18.388340517225355;
2022-10-09_17:05:11.572;47.20440216900928;18.388338558071776;
2022-10-09_17:05:12.565;47.204406872206484;18.38832926953193;
2022-10-09_17:05:13.573;47.204411800568366;18.38831713361872;
2022-10-09_17:05:14.564;47.20442372253346;18.388295291176323;
2022-10-09_17:05:15.571;47.20443657451616;18.388270650902;
2022-10-09_17:05:16.564;47.20444704269981;18.388249368910746;
2022-10-09_17:05:17.568;47.204457530336256;18.38822956095657;
2022-10-09_17:05:18.564;47.204469871441944;18.38820564329216;
2022-10-09_17:05:19.563;47.20448157428383;18.38818353089554;
2022-10-09_17:05:20.563;47.204484968575215;18.388176783615663;
2022-10-09_17:05:21.569;47.2044933892953;18.38815693872801;
2022-10-09_17:05:22.567;47.20450003645993;18.38813899169518;
2022-10-09_17:05:23.564;47.204506127705656;18.388120382913897;
2022-10-09_17:05:24.564;47.204512733631496;18.38810654329073;
2022-10-09_17:05:25.562;47.20451947521135;18.38808739467255;
2022-10-09_17:05:26.566;47.20452553837583;18.38807341188608;
2022-10-09_17:05:27.557;47.20453388526187;18.388061510746866;
2022-10-09_17:05:28.570;47.20454393768144;18.388043868288534;
2022-10-09_17:05:29.564;47.20455295424372;18.388015007881506;
2022-10-09_17:05:30.567;47.20456327796092;18.387989095539197;
2022-10-09_17:05:31.568;47.20457293274769;18.387961529007267;
2022-10-09_17:05:32.564;47.204584260012886;18.38793902752602;
2022-10-09_17:05:33.569;47.20459208811953;18.387917304258103;
2022-10-09_17:05:34.567;47.20460119520181;18.38789207431245;
2022-10-09_17:05:35.578;47.204607565006384;18.387872966489514;
2022-10-09_17:05:36.553;47.204615386042605;18.38785386069819;
2022-10-09_17:05:37.570;47.20461874690676;18.387837341096077;
2022-10-09_17:05:38.567;47.20461940363505;18.387824633910274;
2022-10-09_17:05:39.564;47.204619946837795;18.387811645537262;
2022-10-09_17:05:40.563;47.20462144259821;18.387803258768017;
2022-10-09_17:05:41.570;47.20462252909905;18.387799918104196;
2022-10-09_17:05:42.567;47.204623008205495;18.38779901547884;
2022-10-09_17:05:43.553;47.20462394052854;18.387796323388574;
2022-10-09_17:05:44.567;47.204627340842094;18.387783594017215;
2022-10-09_17:05:45.567;47.20463330045655;18.387766535429808;
2022-10-09_17:05:46.568;47.20464435746053;18.387744008631422;
2022-10-09_17:05:47.569;47.20465333220903;18.38773067724478;
2022-10-09_17:05:48.566;47.20465900578796;18.387718637256114;
2022-10-09_17:05:49.573;47.204663571594494;18.38770556196479;
2022-10-09_17:05:50.571;47.204668426606;18.387694903481925;
2022-10-09_17:05:51.565;47.204670731502794;18.38768978086536;
2022-10-09_17:05:52.563;47.20467611071293;18.387671941751563;
2022-10-09_17:05:53.564;47.204685019093915;18.387648474323306;
2022-10-09_17:05:54.566;47.20469262577808;18.387627807230505;
2022-10-09_17:05:55.568;47.204697676334504;18.387612430626216;
2022-10-09_17:05:56.564;47.20470270740708;18.38760688287126;
2022-10-09_17:05:57.567;47.204708812807816;18.38759924172275;
2022-10-09_17:05:58.565;47.20471362157414;18.387587089698062;
2022-10-09_17:05:59.576;47.20472563736018;18.387566521277037;
2022-10-09_17:06:00.566;47.20474194312181;18.387535031392538;
2022-10-09_17:06:01.574;47.20476363281284;18.387493380218274;
2022-10-09_17:06:02.565;47.204790635910804;18.387450162089014;
2022-10-09_17:06:03.566;47.204823287825064;18.387406987473472;
2022-10-09_17:06:04.565;47.20486287405852;18.38736985998913;
2022-10-09_17:06:05.559;47.20490622712686;18.387327739288878;
2022-10-09_17:06:06.564;47.20495133415759;18.38727788673173;
2022-10-09_17:06:07.568;47.204992542301596;18.387215175829084;
2022-10-09_17:06:08.566;47.20502954907359;18.387151291156677;
2022-10-09_17:06:09.568;47.205061674870116;18.387058899987203;
2022-10-09_17:06:10.568;47.20508029177397;18.386954015576393;
2022-10-09_17:06:11.573;47.205089334160135;18.38685059505326;
2022-10-09_17:06:12.570;47.20509862491034;18.386739421521256;
2022-10-09_17:06:13.568;47.20511161214381;18.386626177720927;
2022-10-09_17:06:14.565;47.205128990438176;18.386516076937188;
2022-10-09_17:06:15.573;47.205167464415695;18.386413502669434;
2022-10-09_17:06:16.563;47.20522224954851;18.38630759085329;
2022-10-09_17:06:17.567;47.205293951078694;18.38620662191789;
2022-10-09_17:06:18.563;47.205368014312796;18.386104964864895;
2022-10-09_17:06:19.572;47.20543625823882;18.386002773619325;
2022-10-09_17:06:20.563;47.20550157592618;18.38588250789973;
2022-10-09_17:06:21.569;47.2055616561613;18.385747655427785;
2022-10-09_17:06:22.564;47.2056187039116;18.38559826910535;
2022-10-09_17:06:23.559;47.205664294909425;18.38544012105231;
2022-10-09_17:06:24.565;47.20569828237424;18.38526665488726;
2022-10-09_17:06:25.576;47.20571992204778;18.38508130786958;
2022-10-09_17:06:26.562;47.20573146291151;18.384887700771866;
2022-10-09_17:06:27.575;47.20574229419726;18.384691391435446;
2022-10-09_17:06:28.572;47.20575966783523;18.384493068867528;
2022-10-09_17:06:29.570;47.20577605006766;18.38429795632449;
2022-10-09_17:06:30.574;47.20579630252453;18.384100978915985;
2022-10-09_17:06:31.564;47.20583654998307;18.383896007721304;
2022-10-09_17:06:32.563;47.20589202312048;18.383703583152418;
2022-10-09_17:06:33.572;47.20595905308679;18.383521616654395;
2022-10-09_17:06:34.565;47.2060274213983;18.38333109161322;
2022-10-09_17:06:35.566;47.206090908018055;18.383142471273924;
2022-10-09_17:06:36.565;47.206149710906395;18.38296296077637;
2022-10-09_17:06:37.569;47.20620407352809;18.382778968346173;
2022-10-09_17:06:38.567;47.206259350201414;18.382590418313086;
2022-10-09_17:06:39.558;47.20631419164181;18.382403938945092;
2022-10-09_17:06:40.562;47.206368369647286;18.382205435745764;
2022-10-09_17:06:41.576;47.20642214243913;18.382005685900896;
2022-10-09_17:06:42.564;47.20647918421886;18.38180358253633;
2022-10-09_17:06:43.566;47.20653531981199;18.381606479043352;
2022-10-09_17:06:44.562;47.20659232786687;18.38140880748523;
2022-10-09_17:06:45.568;47.2066492901617;18.38121426721238;
2022-10-09_17:06:46.569;47.206705259136044;18.381017518012367;
2022-10-09_17:06:47.569;47.2067620762422;18.380823652816357;
2022-10-09_17:06:48.563;47.20681940211892;18.380629459034044;
2022-10-09_17:06:49.565;47.206877117429265;18.380431051922994;
2022-10-09_17:06:50.568;47.20693532135581;18.380229195590744;
2022-10-09_17:06:51.573;47.206992858319545;18.3800327377519;
2022-10-09_17:06:52.566;47.20704899572769;18.379843533309813;
2022-10-09_17:06:53.568;47.20710696072284;18.3796514545487;
2022-10-09_17:06:54.564;47.20716550566786;18.37945982496646;
2022-10-09_17:06:55.568;47.207221804413294;18.379268521810655;
2022-10-09_17:06:56.566;47.20728053164806;18.379073184995566;
2022-10-09_17:06:57.564;47.2073393958797;18.378874950181185;
2022-10-09_17:06:58.564;47.207394514369376;18.37868445905342;
2022-10-09_17:06:59.570;47.207450877105174;18.378493965354384;
2022-10-09_17:07:00.563;47.20750559909583;18.37831095656152;
